Comment,Designator,Footprint,LCSC
R_Small,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N4148,D16,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D13,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D8,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D18,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D17,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D10,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D5,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D2,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D3,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D11,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D15,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D4,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D19,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D21,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D6,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D20,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D12,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D1,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D9,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D14,D_DO-34_SOD68_P7.62mm_Horizontal,
1N4148,D7,D_DO-34_SOD68_P7.62mm_Horizontal,
