Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,194.31,-55.377,90.0,bottom
D2,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,213.51875,-55.40875,90.0,bottom
D3,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,232.41,-55.40875,90.0,bottom
D4,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,251.61875,-55.40875,90.0,bottom
D5,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,194.46875,-79.22125,90.0,bottom
D6,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,213.51875,-79.22125,90.0,bottom
D7,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,232.56875,-79.22125,90.0,bottom
D8,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,251.61875,-79.22125,90.0,bottom
D9,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,194.46875,-98.27125,90.0,bottom
D10,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,213.51875,-98.27125,90.0,bottom
D11,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,232.56875,-98.27125,90.0,bottom
D12,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,194.46875,-117.32125,90.0,bottom
D13,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,213.51875,-117.32125,90.0,bottom
D14,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,232.56875,-117.32125,90.0,bottom
D15,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,251.61875,-107.79625,90.0,bottom
D16,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,194.46875,-136.37125,90.0,bottom
D17,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,213.51875,-136.37125,90.0,bottom
D18,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,232.56875,-136.37125,90.0,bottom
D19,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,203.99375,-155.42125,90.0,bottom
D20,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,232.56875,-155.42125,90.0,bottom
D21,1N4148,D_DO-34_SOD68_P7.62mm_Horizontal,251.61875,-145.89625,90.0,bottom
J1,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,235.331,-54.76875,180.0,bottom
J2,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,197.231,-54.76875,180.0,bottom
MX1,^,MXOnly-1U-Hotswap-Antishear,186.53125,-49.2125,0.0,top
MX2,(,MXOnly-1U-Hotswap-Antishear,205.58125,-49.2125,0.0,top
MX3,),MXOnly-1U-Hotswap-Antishear,224.63125,-49.2125,0.0,top
MX4,%,MXOnly-1U-Hotswap-Antishear,243.68125,-49.2125,0.0,top
MX5,Num Lock,MXOnly-1U-Hotswap-Antishear-LED,186.53125,-73.025,0.0,top
MX6,/,MXOnly-1U-Hotswap-Antishear,205.58125,-73.025,0.0,top
MX7,*,MXOnly-1U-Hotswap-Antishear,224.63125,-73.025,0.0,top
MX8,-,MXOnly-1U-Hotswap-Antishear,243.68125,-73.025,0.0,top
MX9,Num_7,MXOnly-1U-Hotswap-Antishear,186.53125,-92.075,0.0,top
MX10,Num_8,MXOnly-1U-Hotswap-Antishear,205.58125,-92.075,0.0,top
MX11,Num_9,MXOnly-1U-Hotswap-Antishear,224.63125,-92.075,0.0,top
MX12,Num_4,MXOnly-1U-Hotswap-Antishear,186.53125,-111.125,0.0,top
MX13,Num_5,MXOnly-1U-Hotswap-Antishear,205.58125,-111.125,0.0,top
MX14,Num_6,MXOnly-1U-Hotswap-Antishear,224.63125,-111.125,0.0,top
MX15,Num_+,MXOnly-2U-Hotswap-Antishear-VerticalStabilizers,243.68125,-101.6,0.0,top
MX16,Num_1,MXOnly-1U-Hotswap-Antishear,186.53125,-130.175,0.0,top
MX17,Num_2,MXOnly-1U-Hotswap-Antishear,205.58125,-130.175,0.0,top
MX18,Num_3,MXOnly-1U-Hotswap-Antishear,224.63125,-130.175,0.0,top
MX19,Num_0,MXOnly-2U-Hotswap-Antishear,196.05625,-149.225,0.0,top
MX20,Num_.,MXOnly-1U-Hotswap-Antishear,224.63125,-149.225,0.0,top
MX21,Num_Enter,MXOnly-2U-Hotswap-Antishear-VerticalStabilizers,243.68125,-139.7,0.0,top
R1,R_Small,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,200.3425,-82.55,180.0,bottom
