Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,49.212501,-95.250001,90.0,bottom
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,87.312501,-95.250001,90.0,bottom
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,106.362501,-95.250001,90.0,bottom
D4,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,125.412501,-95.250001,90.0,bottom
D5,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,144.462501,-95.250001,90.0,bottom
D6,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,173.037501,-95.250001,90.0,bottom
D7,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,192.087501,-95.250001,90.0,bottom
D8,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,211.137501,-95.250001,90.0,bottom
D9,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,230.187501,-95.250001,90.0,bottom
D10,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,258.762501,-95.250001,90.0,bottom
D11,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,277.812501,-95.250001,90.0,bottom
D12,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,296.068751,-95.250001,90.0,bottom
D13,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,315.912501,-95.250001,90.0,bottom
D14,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,339.725001,-95.250001,90.0,bottom
D15,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,358.775001,-95.250001,90.0,bottom
D16,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,377.825001,-95.250001,90.0,bottom
D17,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,49.212501,-118.903751,90.0,bottom
D18,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,68.262501,-118.903751,90.0,bottom
D19,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,87.312501,-118.903751,90.0,bottom
D20,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,106.362501,-118.903751,90.0,bottom
D21,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,125.412501,-118.903751,90.0,bottom
D22,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,144.462501,-118.903751,90.0,bottom
D23,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,163.512501,-118.903751,90.0,bottom
D24,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,182.562501,-118.903751,90.0,bottom
D25,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,201.612501,-118.903751,90.0,bottom
D26,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,220.662501,-118.903751,90.0,bottom
D27,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,239.712501,-118.903751,90.0,bottom
D28,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,258.762501,-118.903751,90.0,bottom
D29,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,277.812501,-118.903751,90.0,bottom
D30,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,306.387501,-118.903751,90.0,bottom
D31,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,339.725001,-118.903751,90.0,bottom
D32,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,377.825001,-118.903751,90.0,bottom
D33,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,53.975001,-138.112501,90.0,bottom
D34,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,77.787501,-138.112501,90.0,bottom
D35,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,96.837501,-138.112501,90.0,bottom
D36,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,115.887501,-138.112501,90.0,bottom
D37,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,134.937501,-138.112501,90.0,bottom
D38,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,153.987501,-138.112501,90.0,bottom
D39,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,173.037501,-138.112501,90.0,bottom
D40,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,192.087501,-138.112501,90.0,bottom
D41,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,211.137501,-138.112501,90.0,bottom
D42,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,230.187501,-138.112501,90.0,bottom
D43,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,249.237501,-138.112501,90.0,bottom
D44,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,268.287501,-138.112501,90.0,bottom
D45,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,287.337501,-138.112501,90.0,bottom
D46,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,311.150001,-138.112501,90.0,bottom
D47,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,339.725001,-138.112501,90.0,bottom
D48,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,358.775001,-138.112501,90.0,bottom
D49,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,51.593751,-157.162501,90.0,bottom
D50,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,82.550001,-157.162501,90.0,bottom
D51,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,101.600001,-157.162501,90.0,bottom
D52,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,120.650001,-157.162501,90.0,bottom
